Date,TOD,Number
8/1/15,M,4337
7/7/15,M,0786
6/12/15,M,8454
5/18/15,M,6673
7/31/15,E,1702
7/6/15,E,0994
6/11/15,E,7021
5/17/15,E,3387
7/31/15,M,4055
7/6/15,M,4393
6/11/15,M,9825
5/17/15,M,1805
7/30/15,E,5735
7/5/15,E,7499
6/10/15,E,0292
5/16/15,E,6929
7/30/15,M,7160
7/5/15,M,4906
6/10/15,M,2475
5/16/15,M,6837
7/29/15,E,7466
7/4/15,E,5500
6/9/15,E,2414
5/15/15,E,4363
7/29/15,M,2715
7/4/15,M,2184
6/9/15,M,7019
5/15/15,M,0532
7/28/15,E,1350
7/3/15,E,1308
6/8/15,E,4319
5/14/15,E,2475
7/28/15,M,6475
7/3/15,M,4466
6/8/15,M,0691
5/14/15,M,8895
7/27/15,E,2699
7/2/15,E,2030
6/7/15,E,2306
5/13/15,E,1787
7/27/15,M,0314
7/2/15,M,2768
6/7/15,M,1751
5/13/15,M,0075
7/26/15,E,2859
7/1/15,E,6409
6/6/15,E,9728
5/12/15,E,0411
7/26/15,M,3213
7/1/15,M,3531
6/6/15,M,6522
5/12/15,M,4082
7/25/15,E,3390
6/30/15,E,2987
6/5/15,E,7865
5/11/15,E,8838
7/25/15,M,4061
6/30/15,M,5847
6/5/15,M,1028
5/11/15,M,8293
7/24/15,E,4223
6/29/15,E,9455
6/4/15,E,5548
5/10/15,E,2392
7/24/15,M,2724
6/29/15,M,6724
6/4/15,M,8936
5/10/15,M,8414
7/23/15,E,3366
6/28/15,E,8457
6/3/15,E,1771
5/9/15,E,8893
7/23/15,M,6054
6/28/15,M,3481
6/3/15,M,1128
5/9/15,M,8157
7/22/15,E,7701
6/27/15,E,3380
6/2/15,E,5822
5/8/15,E,0142
7/22/15,M,4086
6/27/15,M,8339
6/2/15,M,2306
5/8/15,M,2424
7/21/15,E,7092
6/26/15,E,1506
6/1/15,E,1226
5/7/15,E,3864
7/21/15,M,5011
6/26/15,M,3287
6/1/15,M,7225
5/7/15,M,9870
7/20/15,E,4732
6/25/15,E,4262
5/31/15,E,2079
5/6/15,E,1275
7/20/15,M,1299
6/25/15,M,3430
5/31/15,M,2650
5/6/15,M,4079
7/19/15,E,6876
6/24/15,E,8568
5/30/15,E,4932
5/5/15,E,7941
7/19/15,M,1338
6/24/15,M,8157
5/30/15,M,8567
5/5/15,M,4229
7/18/15,E,1949
6/23/15,E,8240
5/29/15,E,0276
5/4/15,E,6312
7/18/15,M,4712
6/23/15,M,9191
5/29/15,M,9110
5/4/15,M,1974
7/17/15,E,0604
6/22/15,E,7875
5/28/15,E,8935
5/3/15,E,9103
7/17/15,M,4424
6/22/15,M,8225
5/28/15,M,6391
5/3/15,M,9592
7/16/15,E,4991
6/21/15,E,2581
5/27/15,E,7217
5/2/15,E,3049
7/16/15,M,7061
6/21/15,M,4347
5/27/15,M,4388
5/2/15,M,0436
7/15/15,E,8841
6/20/15,E,5228
5/26/15,E,3988
5/1/15,E,8945
7/15/15,M,3157
6/20/15,M,3466
5/26/15,M,0940
5/1/15,M,2409
7/14/15,E,2731
6/19/15,E,8274
5/25/15,E,2153
4/30/15,E,0890
7/14/15,M,0346
6/19/15,M,9686
5/25/15,M,2385
4/30/15,M,7351
7/13/15,E,8296
6/18/15,E,8156
5/24/15,E,9458
4/29/15,E,8023
7/13/15,M,2832
6/18/15,M,7197
5/24/15,M,1708
4/29/15,M,8974
7/12/15,E,0830
6/17/15,E,6318
5/23/15,E,9541
4/28/15,E,7006
7/12/15,M,9318
6/17/15,M,1556
5/23/15,M,2724
4/28/15,M,0556
7/11/15,E,3227
6/16/15,E,5502
5/22/15,E,6567
4/27/15,E,5314
7/11/15,M,4775
6/16/15,M,2211
5/22/15,M,6084
4/27/15,M,7435
4/26/15,E,4909
4/1/15,E,1339
3/7/15,E,9059
2/10/15,E,0888
4/26/15,M,4458
4/1/15,M,7599
3/7/15,M,6778
2/10/15,M,5591
4/25/15,E,5003
3/31/15,E,3812
3/6/15,E,6104
2/9/15,E,9695
4/25/15,M,3827
3/31/15,M,2733
3/6/15,M,5311
2/9/15,M,1100
4/24/15,E,2936
3/30/15,E,4318
3/5/15,E,9565
2/8/15,E,9553
4/24/15,M,4174
3/30/15,M,8787
3/5/15,M,4587
2/8/15,M,4779
4/23/15,E,8083
3/29/15,E,8317
3/4/15,E,5328
2/7/15,E,4105
4/23/15,M,5938
3/29/15,M,7007
3/4/15,M,2252
2/7/15,M,4785
4/22/15,E,2755
3/28/15,E,4004
3/3/15,E,1832
2/6/15,E,9194
4/22/15,M,0500
3/28/15,M,6835
3/3/15,M,0132
2/6/15,M,0549
4/21/15,E,0735
3/27/15,E,4893
3/2/15,E,2283
2/5/15,E,8773
4/21/15,M,9438
3/27/15,M,5431
3/2/15,M,8032
2/5/15,M,1092
4/20/15,E,4030
3/26/15,E,0278
3/1/15,E,0201
2/4/15,E,7407
4/20/15,M,5493
3/26/15,M,7909
3/1/15,M,5833
2/4/15,M,1215
4/19/15,E,7045
3/25/15,E,0872
2/28/15,E,1818
2/3/15,E,2906
4/19/15,M,4048
3/25/15,M,1690
2/28/15,M,3305
2/3/15,M,2815
4/18/15,E,2544
3/24/15,E,4922
2/27/15,E,3806
2/2/15,E,2642
4/18/15,M,5543
3/24/15,M,3903
2/27/15,M,1936
2/2/15,M,3841
4/17/15,E,7949
3/23/15,E,0901
2/26/15,E,1564
2/1/15,E,7678
4/17/15,M,1111
3/23/15,M,6337
2/26/15,M,9558
2/1/15,M,7927
4/16/15,E,4000
3/22/15,E,1091
2/25/15,E,7353
1/31/15,E,1249
4/16/15,M,1258
3/22/15,M,6811
2/25/15,M,9939
1/31/15,M,3970
4/15/15,E,0839
3/21/15,E,4764
2/24/15,E,5793
1/30/15,E,9183
4/15/15,M,6270
3/21/15,M,7923
2/24/15,M,2570
1/30/15,M,5276
4/14/15,E,0357
3/20/15,E,4863
2/23/15,E,2011
1/29/15,E,1620
4/14/15,M,3164
3/20/15,M,0536
2/23/15,M,1356
1/29/15,M,9339
4/13/15,E,1419
3/19/15,E,3243
2/22/15,E,7073
1/28/15,E,2594
4/13/15,M,2508
3/19/15,M,6624
2/22/15,M,6407
1/28/15,M,8709
4/12/15,E,4162
3/18/15,E,0221
2/21/15,E,1105
1/27/15,E,5204
4/12/15,M,8301
3/18/15,M,1074
2/21/15,M,0491
1/27/15,M,4870
4/11/15,E,0176
3/17/15,E,2650
2/20/15,E,0361
1/26/15,E,7673
4/11/15,M,2907
3/17/15,M,2713
2/20/15,M,8947
1/26/15,M,0417
4/10/15,E,7155
3/16/15,E,3706
2/19/15,E,7305
1/25/15,E,0262
4/10/15,M,6121
3/16/15,M,4343
2/19/15,M,2249
1/25/15,M,4779
4/9/15,E,4626
3/15/15,E,5991
2/18/15,E,8271
1/24/15,E,4336
4/9/15,M,4914
3/15/15,M,0144
2/18/15,M,8493
1/24/15,M,2901
4/8/15,E,6186
3/14/15,E,4170
2/17/15,E,3693
1/23/15,E,5231
4/8/15,M,6633
3/14/15,M,5871
2/17/15,M,0106
1/23/15,M,0410
4/7/15,E,3162
3/13/15,E,0214
2/16/15,E,1161
1/22/15,E,6298
4/7/15,M,3005
3/13/15,M,6671
2/16/15,M,2769
1/22/15,M,9750
4/6/15,E,3158
3/12/15,E,1920
2/15/15,E,9931
1/21/15,E,1650
4/6/15,M,8016
3/12/15,M,3919
2/15/15,M,0197
1/21/15,M,3194
4/5/15,E,3575
3/11/15,E,2613
2/14/15,E,2505
1/20/15,E,9014
4/5/15,M,8452
3/11/15,M,8178
2/14/15,M,3931
1/20/15,M,6221
4/4/15,E,7594
3/10/15,E,5740
2/13/15,E,7337
1/19/15,E,7216
4/4/15,M,5849
3/10/15,M,0216
2/13/15,M,7624
1/19/15,M,5550
4/3/15,E,3987
3/9/15,E,6428
2/12/15,E,8239
1/18/15,E,6620
4/3/15,M,6951
3/9/15,M,7695
2/12/15,M,6101
1/18/15,M,7687
4/2/15,E,3699
3/8/15,E,1310
2/11/15,E,4964
1/17/15,E,4091
4/2/15,M,3962
3/8/15,M,9170
2/11/15,M,6440
1/17/15,M,7490
1/16/15,E,9995
12/22/14,E,9231
11/27/14,E,0420
11/2/14,E,4086
1/16/15,M,8063
12/22/14,M,8961
11/27/14,M,9131
11/2/14,M,2092
1/15/15,E,9297
12/21/14,E,3689
11/26/14,E,5650
11/1/14,E,0345
1/15/15,M,8633
12/21/14,M,2675
11/26/14,M,2037
11/1/14,M,8392
1/14/15,E,3712
12/20/14,E,3729
11/25/14,E,5589
10/31/14,E,0450
1/14/15,M,7460
12/20/14,M,5769
11/25/14,M,6015
10/31/14,M,2082
1/13/15,E,2135
12/19/14,E,5914
11/24/14,E,3386
10/30/14,E,0554
1/13/15,M,9333
12/19/14,M,3149
11/24/14,M,9166
10/30/14,M,6596
1/12/15,E,0938
12/18/14,E,4909
11/23/14,E,5261
10/29/14,E,5734
1/12/15,M,0943
12/18/14,M,3184
11/23/14,M,9717
10/29/14,M,8343
1/11/15,E,7206
12/17/14,E,4393
11/22/14,E,8044
10/28/14,E,4000
1/11/15,M,6145
12/17/14,M,6433
11/22/14,M,0982
10/28/14,M,7675
1/10/15,E,5412
12/16/14,E,8584
11/21/14,E,3537
10/27/14,E,3610
1/10/15,M,8681
12/16/14,M,5530
11/21/14,M,1775
10/27/14,M,7571
1/9/15,E,5982
12/15/14,E,9626
11/20/14,E,6142
10/26/14,E,8748
1/9/15,M,6703
12/15/14,M,9355
11/20/14,M,3497
10/26/14,M,4514
1/8/15,E,7194
12/14/14,E,2176
11/19/14,E,5164
10/25/14,E,9430
1/8/15,M,4796
12/14/14,M,5808
11/19/14,M,1563
10/25/14,M,7741
1/7/15,E,7274
12/13/14,E,2750
11/18/14,E,9884
10/24/14,E,1502
1/7/15,M,3044
12/13/14,M,9425
11/18/14,M,1182
10/24/14,M,3944
1/6/15,E,4095
12/12/14,E,4933
11/17/14,E,4886
10/23/14,E,0870
1/6/15,M,3325
12/12/14,M,9020
11/17/14,M,5393
10/23/14,M,7281
1/5/15,E,6253
12/11/14,E,3754
11/16/14,E,4154
10/22/14,E,4595
1/5/15,M,7957
12/11/14,M,5269
11/16/14,M,8488
10/22/14,M,8754
1/4/15,E,5246
12/10/14,E,2886
11/15/14,E,3607
10/21/14,E,3589
1/4/15,M,5482
12/10/14,M,8077
11/15/14,M,7819
10/21/14,M,4404
1/3/15,E,4184
12/9/14,E,7853
11/14/14,E,7183
10/20/14,E,5576
1/3/15,M,3732
12/9/14,M,1192
11/14/14,M,3269
10/20/14,M,5553
1/2/15,E,2649
12/8/14,E,2769
11/13/14,E,6693
10/19/14,E,6911
1/2/15,M,5395
12/8/14,M,7249
11/13/14,M,5783
10/19/14,M,3239
1/1/15,E,1759
12/7/14,E,7461
11/12/14,E,3748
10/18/14,E,0039
1/1/15,M,7391
12/7/14,M,1563
11/12/14,M,5047
10/18/14,M,1731
12/31/14,E,5469
12/6/14,E,3187
11/11/14,E,4654
10/17/14,E,2576
12/31/14,M,2665
12/6/14,M,1150
11/11/14,M,0532
10/17/14,M,2831
12/30/14,E,3921
12/5/14,E,0137
11/10/14,E,4494
10/16/14,E,2721
12/30/14,M,4595
12/5/14,M,5386
11/10/14,M,1579
10/16/14,M,4897
12/29/14,E,0395
12/4/14,E,3316
11/9/14,E,4413
10/15/14,E,4073
12/29/14,M,1839
12/4/14,M,9105
11/9/14,M,5512
10/15/14,M,2307
12/28/14,E,1953
12/3/14,E,7421
11/8/14,E,9598
10/14/14,E,9976
12/28/14,M,1459
12/3/14,M,7118
11/8/14,M,2211
10/14/14,M,3923
12/27/14,E,1583
12/2/14,E,1155
11/7/14,E,8916
10/13/14,E,5082
12/27/14,M,7141
12/2/14,M,9915
11/7/14,M,2906
10/13/14,M,2668
12/26/14,E,5419
12/1/14,E,7895
11/6/14,E,4904
10/12/14,E,6088
12/26/14,M,1692
12/1/14,M,4452
11/6/14,M,5758
10/12/14,M,5630
12/25/14,E,8650
11/30/14,E,7311
11/5/14,E,8898
10/11/14,E,2138
12/25/14,M,4985
11/30/14,M,4390
11/5/14,M,0700
10/11/14,M,1853
12/24/14,E,8816
11/29/14,E,5553
11/4/14,E,8424
10/10/14,E,6073
12/24/14,M,8177
11/29/14,M,8352
11/4/14,M,4356
10/10/14,M,5057
12/23/14,E,5431
11/28/14,E,6402
11/3/14,E,4786
10/9/14,E,8414
12/23/14,M,8698
11/28/14,M,1545
11/3/14,M,3904
10/9/14,M,7467
10/8/14,E,1079
9/13/14,E,0809
8/19/14,E,9708
7/25/14,E,8106
10/8/14,M,2474
9/13/14,M,0269
8/19/14,M,4654
7/25/14,M,3220
10/7/14,E,8258
9/12/14,E,9940
8/18/14,E,6644
7/24/14,E,6683
10/7/14,M,1721
9/12/14,M,1351
8/18/14,M,3055
7/24/14,M,8353
10/6/14,E,9884
9/11/14,E,5530
8/17/14,E,5071
7/23/14,E,1605
10/6/14,M,4371
9/11/14,M,7000
8/17/14,M,8647
7/23/14,M,9064
10/5/14,E,4638
9/10/14,E,0187
8/16/14,E,8022
7/22/14,E,4405
10/5/14,M,6689
9/10/14,M,4128
8/16/14,M,5116
7/22/14,M,6507
10/4/14,E,5515
9/9/14,E,8815
8/15/14,E,4615
7/21/14,E,9740
10/4/14,M,2929
9/9/14,M,4776
8/15/14,M,8696
7/21/14,M,1528
10/3/14,E,4611
9/8/14,E,0136
8/14/14,E,6770
7/20/14,E,5708
10/3/14,M,0304
9/8/14,M,5666
8/14/14,M,5430
7/20/14,M,9729
10/2/14,E,6039
9/7/14,E,8656
8/13/14,E,7494
7/19/14,E,4267
10/2/14,M,5383
9/7/14,M,0813
8/13/14,M,7057
7/19/14,M,2550
10/1/14,E,2880
9/6/14,E,4193
8/12/14,E,3585
7/18/14,E,6541
10/1/14,M,0527
9/6/14,M,9780
8/12/14,M,4136
7/18/14,M,7066
9/30/14,E,8505
9/5/14,E,7449
8/11/14,E,4067
7/17/14,E,3513
9/30/14,M,6648
9/5/14,M,0106
8/11/14,M,4450
7/17/14,M,2510
9/29/14,E,9782
9/4/14,E,7975
8/10/14,E,2244
7/16/14,E,4030
9/29/14,M,5575
9/4/14,M,7232
8/10/14,M,4396
7/16/14,M,6658
9/28/14,E,4367
9/3/14,E,7337
8/9/14,E,0872
7/15/14,E,4727
9/28/14,M,4073
9/3/14,M,8629
8/9/14,M,0781
7/15/14,M,6965
9/27/14,E,4888
9/2/14,E,3314
8/8/14,E,4336
7/14/14,E,3544
9/27/14,M,4285
9/2/14,M,6059
8/8/14,M,7501
7/14/14,M,2192
9/26/14,E,4900
9/1/14,E,6095
8/7/14,E,2442
7/13/14,E,2300
9/26/14,M,5674
9/1/14,M,8107
8/7/14,M,9216
7/13/14,M,4705
9/25/14,E,1994
8/31/14,E,4767
8/6/14,E,8451
7/12/14,E,0788
9/25/14,M,1099
8/31/14,M,2729
8/6/14,M,4154
7/12/14,M,0805
9/24/14,E,2373
8/30/14,E,0074
8/5/14,E,5266
7/11/14,E,7126
9/24/14,M,4978
8/30/14,M,5412
8/5/14,M,3567
7/11/14,M,4452
9/23/14,E,5922
8/29/14,E,5914
8/4/14,E,0778
7/10/14,E,3705
9/23/14,M,2303
8/29/14,M,3042
8/4/14,M,2365
7/10/14,M,3553
9/22/14,E,1656
8/28/14,E,9266
8/3/14,E,8775
7/9/14,E,1041
9/22/14,M,6870
8/28/14,M,9083
8/3/14,M,1910
7/9/14,M,5754
9/21/14,E,3349
8/27/14,E,5664
8/2/14,E,9983
7/8/14,E,0469
9/21/14,M,9791
8/27/14,M,6798
8/2/14,M,3491
7/8/14,M,7263
9/20/14,E,6823
8/26/14,E,5839
8/1/14,E,9129
7/7/14,E,0750
9/20/14,M,5761
8/26/14,M,0854
8/1/14,M,3049
7/7/14,M,9316
9/19/14,E,2390
8/25/14,E,9218
7/31/14,E,2364
7/6/14,E,3519
9/19/14,M,7712
8/25/14,M,2238
7/31/14,M,8111
7/6/14,M,0484
9/18/14,E,5435
8/24/14,E,6440
7/30/14,E,3592
7/5/14,E,8760
9/18/14,M,2547
8/24/14,M,1168
7/30/14,M,6521
7/5/14,M,8114
9/17/14,E,8079
8/23/14,E,7352
7/29/14,E,2260
7/4/14,E,4225
9/17/14,M,5931
8/23/14,M,3578
7/29/14,M,1077
7/4/14,M,9970
9/16/14,E,8051
8/22/14,E,7289
7/28/14,E,3640
7/3/14,E,0603
9/16/14,M,5165
8/22/14,M,2450
7/28/14,M,2532
7/3/14,M,8540
9/15/14,E,4674
8/21/14,E,8742
7/27/14,E,5970
7/2/14,E,7620
9/15/14,M,6799
8/21/14,M,1462
7/27/14,M,2593
7/2/14,M,0287
9/14/14,E,6163
8/20/14,E,3210
7/26/14,E,2465
7/1/14,E,6171
9/14/14,M,6649
8/20/14,M,5466
7/26/14,M,2845
7/1/14,M,1163
6/30/14,E,4387
6/5/14,E,3332
5/11/14,E,3235
4/16/14,E,0475
6/30/14,M,6921
6/5/14,M,8247
5/11/14,M,7696
4/16/14,M,1580
6/29/14,E,8312
6/4/14,E,3081
5/10/14,E,0264
4/15/14,E,5771
6/29/14,M,3578
6/4/14,M,6538
5/10/14,M,7691
4/15/14,M,6425
6/28/14,E,9341
6/3/14,E,7227
5/9/14,E,3700
4/14/14,E,2865
6/28/14,M,2677
6/3/14,M,0697
5/9/14,M,2813
4/14/14,M,8255
6/27/14,E,2529
6/2/14,E,7354
5/8/14,E,3353
4/13/14,E,1723
6/27/14,M,5002
6/2/14,M,8622
5/8/14,M,6783
4/13/14,M,2341
6/26/14,E,7418
6/1/14,E,0280
5/7/14,E,7073
4/12/14,E,3417
6/26/14,M,3097
6/1/14,M,5788
5/7/14,M,7557
4/12/14,M,5671
6/25/14,E,9059
5/31/14,E,1486
5/6/14,E,0964
4/11/14,E,9479
6/25/14,M,6518
5/31/14,M,3034
5/6/14,M,2689
4/11/14,M,1738
6/24/14,E,4317
5/30/14,E,6717
5/5/14,E,4094
4/10/14,E,4156
6/24/14,M,0965
5/30/14,M,6022
5/5/14,M,0490
4/10/14,M,7877
6/23/14,E,3439
5/29/14,E,7084
5/4/14,E,1010
4/9/14,E,1416
6/23/14,M,8311
5/29/14,M,7767
5/4/14,M,4801
4/9/14,M,2000
6/22/14,E,6709
5/28/14,E,7430
5/3/14,E,9003
4/8/14,E,8723
6/22/14,M,6522
5/28/14,M,3547
5/3/14,M,8078
4/8/14,M,2703
6/21/14,E,4504
5/27/14,E,8598
5/2/14,E,1209
4/7/14,E,0449
6/21/14,M,6512
5/27/14,M,6344
5/2/14,M,9924
4/7/14,M,8710
6/20/14,E,7244
5/26/14,E,9439
5/1/14,E,7215
4/6/14,E,3378
6/20/14,M,1278
5/26/14,M,9676
5/1/14,M,5483
4/6/14,M,1576
6/19/14,E,2709
5/25/14,E,4863
4/30/14,E,8747
4/5/14,E,9770
6/19/14,M,4337
5/25/14,M,6707
4/30/14,M,1805
4/5/14,M,4220
6/18/14,E,8120
5/24/14,E,8333
4/29/14,E,9297
4/4/14,E,7326
6/18/14,M,9395
5/24/14,M,8136
4/29/14,M,6048
4/4/14,M,6274
6/17/14,E,4506
5/23/14,E,8960
4/28/14,E,5861
4/3/14,E,0657
6/17/14,M,7067
5/23/14,M,4163
4/28/14,M,1281
4/3/14,M,3951
6/16/14,E,8105
5/22/14,E,0874
4/27/14,E,2578
4/2/14,E,8018
6/16/14,M,5211
5/22/14,M,3958
4/27/14,M,9931
4/2/14,M,4885
6/15/14,E,3635
5/21/14,E,2339
4/26/14,E,1921
4/1/14,E,8406
6/15/14,M,2439
5/21/14,M,6037
4/26/14,M,2717
4/1/14,M,5332
6/14/14,E,7120
5/20/14,E,7532
4/25/14,E,0409
3/31/14,E,5871
6/14/14,M,5532
5/20/14,M,5009
4/25/14,M,4980
3/31/14,M,5742
6/13/14,E,0748
5/19/14,E,8876
4/24/14,E,6200
3/30/14,E,1630
6/13/14,M,5366
5/19/14,M,5853
4/24/14,M,3308
3/30/14,M,1623
6/12/14,E,1390
5/18/14,E,8543
4/23/14,E,6378
3/29/14,E,8995
6/12/14,M,9891
5/18/14,M,2472
4/23/14,M,2196
3/29/14,M,4371
6/11/14,E,0337
5/17/14,E,7066
4/22/14,E,0451
3/28/14,E,9184
6/11/14,M,9738
5/17/14,M,9085
4/22/14,M,3381
3/28/14,M,3809
6/10/14,E,8684
5/16/14,E,9326
4/21/14,E,0142
3/27/14,E,1617
6/10/14,M,2833
5/16/14,M,7727
4/21/14,M,8638
3/27/14,M,3584
6/9/14,E,4266
5/15/14,E,6281
4/20/14,E,1903
3/26/14,E,8524
6/9/14,M,1104
5/15/14,M,1088
4/20/14,M,6896
3/26/14,M,6278
6/8/14,E,3367
5/14/14,E,7139
4/19/14,E,5011
3/25/14,E,4740
6/8/14,M,2774
5/14/14,M,5306
4/19/14,M,9922
3/25/14,M,6846
6/7/14,E,6943
5/13/14,E,0320
4/18/14,E,8115
3/24/14,E,8110
6/7/14,M,6186
5/13/14,M,1654
4/18/14,M,7337
3/24/14,M,7159
6/6/14,E,6279
5/12/14,E,0926
4/17/14,E,3878
3/23/14,E,6921
6/6/14,M,6988
5/12/14,M,7035
4/17/14,M,3935
3/23/14,M,3526
3/22/14,E,4247
2/25/14,E,9211
1/31/14,E,2578
1/6/14,E,1160
3/22/14,M,2034
2/25/14,M,1992
1/31/14,M,9955
1/6/14,M,8495
3/21/14,E,9980
2/24/14,E,9430
1/30/14,E,7608
1/5/14,E,8491
3/21/14,M,2938
2/24/14,M,6644
1/30/14,M,9860
1/5/14,M,5451
3/20/14,E,2895
2/23/14,E,5255
1/29/14,E,2237
1/4/14,E,1019
3/20/14,M,0414
2/23/14,M,3007
1/29/14,M,1426
1/4/14,M,8312
3/19/14,E,3600
2/22/14,E,1191
1/28/14,E,2467
1/3/14,E,9753
3/19/14,M,2811
2/22/14,M,2557
1/28/14,M,9874
1/3/14,M,8266
3/18/14,E,5698
2/21/14,E,1044
1/27/14,E,4636
1/2/14,E,1214
3/18/14,M,7727
2/21/14,M,7599
1/27/14,M,5342
1/2/14,M,4537
3/17/14,E,3177
2/20/14,E,4610
1/26/14,E,5644
1/1/14,E,0030
3/17/14,M,8350
2/20/14,M,3115
1/26/14,M,0938
1/1/14,M,9965
3/16/14,E,3250
2/19/14,E,3928
1/25/14,E,9107
12/31/13,E,1957
3/16/14,M,6879
2/19/14,M,0623
1/25/14,M,7835
12/31/13,M,8524
3/15/14,E,6232
2/18/14,E,0915
1/24/14,E,7310
12/30/13,E,7786
3/15/14,M,0735
2/18/14,M,6132
1/24/14,M,0692
12/30/13,M,4912
3/14/14,E,1761
2/17/14,E,4505
1/23/14,E,5460
12/29/13,E,1261
3/14/14,M,7844
2/17/14,M,0953
1/23/14,M,0369
12/29/13,M,3740
3/13/14,E,9828
2/16/14,E,5710
1/22/14,E,4603
12/28/13,E,2894
3/13/14,M,3114
2/16/14,M,2015
1/22/14,M,5042
12/28/13,M,4959
3/12/14,E,7276
2/15/14,E,6914
1/21/14,E,7081
12/27/13,E,3922
3/12/14,M,7492
2/15/14,M,3111
1/21/14,M,6502
12/27/13,M,5455
3/11/14,E,4664
2/14/14,E,4260
1/20/14,E,3972
12/26/13,E,9359
3/11/14,M,7717
2/14/14,M,5436
1/20/14,M,1164
12/26/13,M,0933
3/10/14,E,2976
2/13/14,E,7653
1/19/14,E,7689
12/25/13,E,6956
3/10/14,M,6933
2/13/14,M,0788
1/19/14,M,6411
12/25/13,M,2045
3/9/14,E,5419
2/12/14,E,9105
1/18/14,E,3469
12/24/13,E,6922
3/9/14,M,5948
2/12/14,M,5712
1/18/14,M,0731
12/24/13,M,7393
3/8/14,E,2464
2/11/14,E,1455
1/17/14,E,4245
12/23/13,E,6022
3/8/14,M,0309
2/11/14,M,8776
1/17/14,M,1493
12/23/13,M,8098
3/7/14,E,2899
2/10/14,E,2201
1/16/14,E,2342
12/22/13,E,7601
3/7/14,M,5509
2/10/14,M,9041
1/16/14,M,2505
12/22/13,M,9297
3/6/14,E,3131
2/9/14,E,7889
1/15/14,E,7779
12/21/13,E,5228
3/6/14,M,5429
2/9/14,M,2345
1/15/14,M,1833
12/21/13,M,7628
3/5/14,E,0468
2/8/14,E,5452
1/14/14,E,4334
12/20/13,E,1614
3/5/14,M,1028
2/8/14,M,4739
1/14/14,M,5715
12/20/13,M,8562
3/4/14,E,1422
2/7/14,E,8565
1/13/14,E,5020
12/19/13,E,8877
3/4/14,M,0355
2/7/14,M,8941
1/13/14,M,9268
12/19/13,M,4980
3/3/14,E,2176
2/6/14,E,3142
1/12/14,E,7700
12/18/13,E,9889
3/3/14,M,0837
2/6/14,M,5620
1/12/14,M,9146
12/18/13,M,0155
3/2/14,E,6694
2/5/14,E,2524
1/11/14,E,2075
12/17/13,E,6592
3/2/14,M,0333
2/5/14,M,0403
1/11/14,M,7418
12/17/13,M,7004
3/1/14,E,5038
2/4/14,E,4481
1/10/14,E,3631
12/16/13,E,2039
3/1/14,M,6177
2/4/14,M,6574
1/10/14,M,8846
12/16/13,M,6216
2/28/14,E,9912
2/3/14,E,9164
1/9/14,E,8971
12/15/13,E,9488
2/28/14,M,9469
2/3/14,M,6845
1/9/14,M,1728
12/15/13,M,5115
2/27/14,E,7732
2/2/14,E,0021
1/8/14,E,6573
12/14/13,E,2412
2/27/14,M,5000
2/2/14,M,9758
1/8/14,M,1819
12/14/13,M,0684
2/26/14,E,0411
2/1/14,E,9931
1/7/14,E,1638
12/13/13,E,1882
2/26/14,M,3381
2/1/14,M,9118
1/7/14,M,8760
12/13/13,M,2195
12/12/13,E,3419
11/17/13,E,7965
10/23/13,E,4433
9/28/13,E,6554
12/12/13,M,8562
11/17/13,M,1202
10/23/13,M,8452
9/28/13,M,3644
12/11/13,E,6432
11/16/13,E,6217
10/22/13,E,6164
9/27/13,E,7178
12/11/13,M,2103
11/16/13,M,8546
10/22/13,M,7226
9/27/13,M,4839
12/10/13,E,4276
11/15/13,E,3693
10/21/13,E,3756
9/26/13,E,5002
12/10/13,M,0281
11/15/13,M,3114
10/21/13,M,3322
9/26/13,M,6642
12/9/13,E,2409
11/14/13,E,0164
10/20/13,E,5895
9/25/13,E,5805
12/9/13,M,7991
11/14/13,M,9164
10/20/13,M,1066
9/25/13,M,3400
12/8/13,E,4231
11/13/13,E,8577
10/19/13,E,8614
9/24/13,E,5013
12/8/13,M,3506
11/13/13,M,2520
10/19/13,M,8671
9/24/13,M,7180
12/7/13,E,7866
11/12/13,E,2247
10/18/13,E,6889
9/23/13,E,9792
12/7/13,M,3396
11/12/13,M,7137
10/18/13,M,9871
9/23/13,M,2143
12/6/13,E,0139
11/11/13,E,0075
10/17/13,E,0336
9/22/13,E,2055
12/6/13,M,7474
11/11/13,M,1004
10/17/13,M,4276
9/22/13,M,3097
12/5/13,E,9521
11/10/13,E,9558
10/16/13,E,2758
9/21/13,E,2534
12/5/13,M,6344
11/10/13,M,4695
10/16/13,M,8396
9/21/13,M,1943
12/4/13,E,3632
11/9/13,E,8549
10/15/13,E,6192
9/20/13,E,1596
12/4/13,M,2695
11/9/13,M,4571
10/15/13,M,1924
9/20/13,M,3022
12/3/13,E,5772
11/8/13,E,2053
10/14/13,E,9036
9/19/13,E,0751
12/3/13,M,3565
11/8/13,M,8622
10/14/13,M,9072
9/19/13,M,1242
12/2/13,E,4397
11/7/13,E,4234
10/13/13,E,4987
9/18/13,E,1252
12/2/13,M,7651
11/7/13,M,6029
10/13/13,M,7595
9/18/13,M,1218
12/1/13,E,6703
11/6/13,E,7313
10/12/13,E,2991
9/17/13,E,1854
12/1/13,M,1500
11/6/13,M,3672
10/12/13,M,6424
9/17/13,M,6297
11/30/13,E,0655
11/5/13,E,5795
10/11/13,E,3758
